		SY				CC				MLE			
rho	p	Bias	SE	RE		Bias	SE	RE		Bias	SE	SEE	CP
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.747505814611632		-0.00153566561191409	0.0385008033649898	0.839128011412612		-0.00249803802937842	0.0352682492217153	0.0346996260267959	0.946
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.558656776297288		-0.000966005848762497	0.0428732620989361	0.805680907110982		-0.00418759303817418	0.0384829241623356	0.0381653525663264	0.9454
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.450822084996815		-0.000406013068553812	0.0452317170102453	0.855539750215401		-0.0065325499987488	0.0418372538614043	0.041586752181442	0.9461
-0.5	1	0.00353414546136499	0.0721480254692477	0.393377642778737		0.000648303591529009	0.0462322499926232	0.958006627993419		-0.00809298674809195	0.0452511151988362	0.0439640382742486	0.9425
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.799992116821356		-0.00118807647851343	0.0378594191239562	0.86881841688005		-0.00201820550134046	0.0352889271741346	0.0347068290720082	0.9462
-0.3	0.3	0.00135983549980428	0.049599629730998	0.61049600544043		-0.000814287610495124	0.0424608912541466	0.833031615015007		-0.003098680805451	0.0387542956185706	0.038392480095929	0.9459
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.484072156902823		-0.000355397494049892	0.0450410015146871	0.87927742278779		-0.00473565038577545	0.0422348542423748	0.0419292957434228	0.9473
-0.3	1	0.00208173055152505	0.0715857788852282	0.409821478685463		0.000637370956845185	0.0462058833872602	0.983679611163912		-0.00602561374651334	0.0458272833158782	0.0444473566151425	0.9418
0	0.1	-0.000640490431660479	0.0377692253891878	0.871408314977799		-0.00056837524542469	0.0368916348905075	0.913360134182395		-0.00140044486006624	0.0352572899955586	0.034622610222035	0.9417
0	0.3	0.000237960050140762	0.0472408086686971	0.676278713590972		-0.000286747727439141	0.0418062315721049	0.863531770896843		-0.00164706054584401	0.0388490302315552	0.0384870479273349	0.9471
0	0.6	0.000288046333081993	0.0579031510735344	0.547150698875968		-0.000107004251591214	0.0448078362051537	0.913699550361744		-0.00245566825708393	0.0428307498420377	0.0423497548035875	0.9455
0	1	0.000476815379577722	0.0697471834295449	0.440344796302781		0.000631884451453624	0.0461988434061429	1.00365397992685		-0.00348227536231316	0.0462831712665316	0.0447948075193183	0.9398
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.901477706527503		-1.79832652664746e-05	0.0362007435559511	0.928119342735251		-0.000439645724556126	0.0348754164975008	0.034401648060185	0.9437
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.741264316590195		0.000197981462190244	0.0412396069747902	0.881826420120175		-0.000104748103318952	0.0387263058345159	0.0383254537855868	0.9457
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.618170515277541		0.000134035880904493	0.0444222870955392	0.913190422521554		-0.000356468928599696	0.0424503806190215	0.0419965032967537	0.9468
0.3	1	-0.00078126190413258	0.0665845340226328	0.474922688628695		0.000541587612991945	0.0459705256160259	0.99634720885884		-0.000699770559293711	0.0458864884388901	0.0445858200802456	0.9429
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.913030585249233		0.000228325076199132	0.0357817243799823	0.935108571542703		0.00036222205604447	0.0346012895746581	0.0341609751828957	0.9456
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.769080691123433		0.000380650635985968	0.0406944696218733	0.883292672140443		0.0007836993107882	0.038246148448859	0.0378291013025144	0.9444
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.650374050181733		0.0002292410340064	0.0439072369717895	0.907576266826606		0.00108836848731897	0.041829018447021	0.0414078117410929	0.9477
0.5	1	-0.002258376397691	0.0635592878897956	0.50734273389314		0.000537111865445639	0.0455814595970658	0.986468074492135		0.00109958402855426	0.0452720067000548	0.0440353223177007	0.9431
